nohup: ignoring input
/opt/conda/envs/hncgat/lib/python3.9/site-packages/torch/torch_version.py:3: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import packaging  # type: ignore[attr-defined]
Namespace(gpu=0, n_epochs=1000, lr=0.005, lamb=1, hid_dim=64, dropout=0.5, temperature=0.1, edgetype='concat', use_weighted_loss=True, weight_attention=True, weight_temperature=0.8)
1-th random split with training ratio 0.900000
Epoch 460 | Loss 6.8598 | TrainAUC 0.9864 | testAUC_ROC 0.9640 |  testAUCpr 0.8123 
Epoch 470 | Loss 6.9104 | TrainAUC 0.9858 | testAUC_ROC 0.9624 |  testAUCpr 0.8062 
Epoch 480 | Loss 6.8380 | TrainAUC 0.9867 | testAUC_ROC 0.9635 |  testAUCpr 0.8109 
Epoch 490 | Loss 6.8458 | TrainAUC 0.9868 | testAUC_ROC 0.9628 |  testAUCpr 0.8070 
Epoch 500 | Loss 6.8700 | TrainAUC 0.9864 | testAUC_ROC 0.9643 |  testAUCpr 0.8169 
Epoch 500 - Average weights - PM:0.303, PP:0.182, PF:0.515
Epoch 510 | Loss 6.8543 | TrainAUC 0.9866 | testAUC_ROC 0.9622 |  testAUCpr 0.8036 
Epoch 520 | Loss 6.8148 | TrainAUC 0.9872 | testAUC_ROC 0.9646 |  testAUCpr 0.8192 
Epoch 530 | Loss 6.7655 | TrainAUC 0.9879 | testAUC_ROC 0.9622 |  testAUCpr 0.8050 
Epoch 540 | Loss 6.7544 | TrainAUC 0.9882 | testAUC_ROC 0.9665 |  testAUCpr 0.8315 
Epoch 550 | Loss 6.7736 | TrainAUC 0.9877 | testAUC_ROC 0.9646 |  testAUCpr 0.8215 
Epoch 560 | Loss 6.7433 | TrainAUC 0.9884 | testAUC_ROC 0.9660 |  testAUCpr 0.8294 
Epoch 570 | Loss 6.7446 | TrainAUC 0.9883 | testAUC_ROC 0.9650 |  testAUCpr 0.8236 
Epoch 580 | Loss 6.7715 | TrainAUC 0.9883 | testAUC_ROC 0.9667 |  testAUCpr 0.8299 
Epoch 590 | Loss 6.7221 | TrainAUC 0.9888 | testAUC_ROC 0.9677 |  testAUCpr 0.8315 
Epoch 600 | Loss 6.7148 | TrainAUC 0.9893 | testAUC_ROC 0.9677 |  testAUCpr 0.8381 
Epoch 600 - Average weights - PM:0.303, PP:0.182, PF:0.514
Epoch 610 | Loss 6.7025 | TrainAUC 0.9889 | testAUC_ROC 0.9681 |  testAUCpr 0.8325 
Epoch 620 | Loss 6.6847 | TrainAUC 0.9892 | testAUC_ROC 0.9685 |  testAUCpr 0.8397 
Epoch 630 | Loss 6.7282 | TrainAUC 0.9893 | testAUC_ROC 0.9674 |  testAUCpr 0.8320 
Epoch 640 | Loss 6.6730 | TrainAUC 0.9891 | testAUC_ROC 0.9682 |  testAUCpr 0.8381 
Epoch 650 | Loss 6.6732 | TrainAUC 0.9891 | testAUC_ROC 0.9695 |  testAUCpr 0.8409 
Epoch 660 | Loss 6.6366 | TrainAUC 0.9898 | testAUC_ROC 0.9709 |  testAUCpr 0.8532 
Epoch 670 | Loss 6.6397 | TrainAUC 0.9896 | testAUC_ROC 0.9682 |  testAUCpr 0.8400 
